ident,name,latitude_deg,longitude_deg,iso_country,iata_code
FAKP,Komatipoort Airport,-25.4402999878,31.9300003052,ZA,KOF
FAKU,Johan Pienaar Airport,-27.4566993713,23.4113998413,ZA,KMH
FAKZ,Kleinsee Airport,-29.6884002686,17.0939998627,ZA,KLZ
FALA,Lanseria Airport,-25.9384994507,27.9260997772,ZA,HLA
FALC,Lime Acres Finsch Mine Airport,-28.3600997925,23.4391002655,ZA,LMR
FALD,Londolozi Airport,-24.7502002716,31.4757003784,ZA,LDZ
FALE,King Shaka International Airport,-29.6144444444,31.1197222222,ZA,DUR
FALK,Lusikisiki Airport,-31.3666992188,29.5832996368,ZA,LUJ
FALO,Louis Trichardt Airport,-23.0618991852,29.8647003174,ZA,LCD
FALW,Langebaanweg Airport,-32.9688987732,18.1602993011,ZA,LGE
FALY,Ladysmith Airport,-28.5816993713,29.7497005463,ZA,LAY
FAMD,Malamala Airport,-24.8180999756,31.5445995331,ZA,AAM
FAMG,Margate Airport,-30.8574008942,30.343000412,ZA,MGH
FAMM,Mmabatho International Airport,-25.7984008789,25.5480003357,ZA,MBD
FAMN,Riverside Airport,-25.4300003052,31.5767002106,ZA,LLE
FAMO,Mossel Bay Airport,-34.1582984924,22.058599472,ZA,MZY
FAMS,Morningside Farm Airport,-25.7045001984,26.9090003967,ZA,MEZ
FAMU,Mkuze Airport,-27.6261005402,32.0443000793,ZA,MZQ
FANC,Newcastle Airport,-27.7705993652,29.9769001007,ZA,NCS
FANG,Ngala Airport,-24.3878002167,31.325799942,ZA,NGL
FANS,Nelspruit Airport,-25.5,30.9137992859,ZA,NLP
FAOB,Overberg Airport,-34.554901123,20.2506999969,ZA,OVG
FAOH,Oudtshoorn Airport,-33.6069984436,22.188999176,ZA,OUH
FAPA,Port Alfred Airport,-33.5541992188,26.8777008057,ZA,AFD
FAPE,Port Elizabeth Airport,-33.9849014282,25.6173000336,ZA,PLZ
FAPG,Plettenberg Bay Airport,-34.0903015137,23.3278007507,ZA,PBZ
FAPH,Hendrik Van Eck Airport,-23.9372005463,31.1553993225,ZA,PHW
FAPI,Pietersburg Municipal Airport,-23.9260997772,29.4843997955,ZA,PTG
FAPJ,Port St Johns Airport,-31.6058998108,29.5198001862,ZA,JOH
FAPK,Prieska Airport,-29.683599472,22.7705993652,ZA,PRK
FAPM,Pietermaritzburg Airport,-29.6490001678,30.3987007141,ZA,PZB
FAPN,Pilanesberg International Airport,-25.3337993622,27.1734008789,ZA,NTY
FAPP,Polokwane International Airport,-23.8453006744,29.4585990906,ZA,PTG
FAPS,Potchefstroom Airport,-26.670999527,27.0818996429,ZA,PCF
FAQT,Queenstown Airport,-31.9202003479,26.8822002411,ZA,UTW
FARB,Richards Bay Airport,-28.7409992218,32.0920982361,ZA,RCB
FARI,Reivilo Airport,-27.5471992493,24.1725006104,ZA,RVO
FARS,Robertson Airport,-33.8121986389,19.9027996063,ZA,ROD
FASB,Springbok Airport,-29.6893005371,17.9395999908,ZA,SBU
FASC,Secunda Airport,-26.52409935,29.1700992584,ZA,ZEC
FASD,Saldanha /Vredenburg Airport,-32.964099884,17.9692993164,ZA,SDB
FASE,Sabi Sabi Airport,-24.9414997101,31.4445991516,ZA,GSS
FASS,Sishen Airport,-27.6485996246,22.9993000031,ZA,SIS
FASZ,Skukuza Airport,-24.960899353,31.5886993408,ZA,SZK
FATH,Thohoyandou Airport,-23.0769004822,30.383600235,ZA,THY
FATN,Thaba Nchu Tar Airport,-29.3178005219,26.8227996826,ZA,TCU
FATZ,Tzaneen Airport,-23.8243999481,30.3292999268,ZA,LTA
FAUL,Prince Mangosuthu Buthelezi Airport,-28.3206005096,31.4165000916,ZA,ULD
FAUP,Pierre Van Ryneveld Airport,-28.39909935,21.2602005005,ZA,UTN
FAUT,K. D. Matanzima Airport,-31.5478992462,28.6742992401,ZA,UTT
FAVB,Vryburg Airport,-26.9824008942,24.7287998199,ZA,VRU
FAVG,Virginia Airport,-29.7705993652,31.0583992004,ZA,VIR
FAVR,Vredendal Airport,-31.6410007477,18.5447998047,ZA,VRE
FAVY,Vryheid Airport,-27.7868995667,30.7964000702,ZA,VYD
FAWB,Wonderboom Airport,-25.6539001465,28.224199295,ZA,PRY
FAWK,Waterkloof Air Force Base,-25.8299999237,28.2224998474,ZA,AFB
FAWM,Welkom Airport,-27.9979991913,26.6695995331,ZA,WEL
FBFT,Francistown Airport,-21.1595993042,27.4745006561,BW,FRW
FBGZ,Ghanzi Airport,-21.6924991608,21.6581001282,BW,GNZ
FBJW,Jwaneng Airport,-24.6023006439,24.6909999847,BW,JWA
FBKE,Kasane Airport,-17.8328990936,25.162399292,BW,BBK
FBKR,Khwai River Lodge Airport,-19.1499996185,23.783000946,BW,KHW
FBMN,Maun Airport,-19.9726009369,23.4311008453,BW,MUB
FBOR,Orapa Airport,-21.2667007446,25.3166999817,BW,ORP
FBPY,Palapye Airport,-22.5669994354,27.1499996185,BW,QPH
FBSK,Sir Seretse Khama International Airport,-24.5552005768,25.9181995392,BW,GBE
FBSN,Sua Pan Airport,-20.5534000397,26.1158008575,BW,SXN
FBSP,Selebi Phikwe Airport,-22.0583000183,27.8288002014,BW,PKW
FBSW,Shakawe Airport,-18.3738994598,21.8325996399,BW,SWX
FBTL,Limpopo Valley Airport,-22.1891994476,29.1268997192,BW,TLD
FBTS,Tshabong Airport,-26.0333003998,22.3999996185,BW,TBY
FCBB,Maya-Maya Airport,-4.2516999245,15.2530002594,CG,BZV
FCBD,Djambala Airport,-2.5329999924,14.75,CG,DJM
FCBK,Kindamba Airport,-3.9500000477,14.5170001984,CG,KNJ
FCBL,Lague Airport,-2.4500000477,14.5329999924,CG,LCO
FCBM,Mouyondzi Airport,-4.0148739815,13.9661121368,CG,MUY
FCBS,Sibiti Airport,-3.6830000877,13.3500003815,CG,SIB
FCBY,Yokangassi Airport,-4.2170000076,13.2829999924,CG,NKY
FCBZ,Zanaga Airport,-2.8499999046,13.8170003891,CG,ANJ
FCMM,Mossendjo Airport,-2.9500000477,12.6999998093,CG,MSX
FCOB,Boundji Airport,-1.0329999924,15.3830003738,CG,BOE
FCOE,Ewo Airport,-0.8830000162,14.8000001907,CG,EWO
FCOG,Gamboma Airport,-1.829403,15.885237,CG,GMM
FCOI,Impfondo Airport,1.6169999838,18.0669994354,CG,ION
FCOK,Kelle Airport,-0.0829999968,14.5329999924,CG,KEE
FCOM,Makoua Airport,-0.0170000009,15.5830001831,CG,MKJ
FCOO,Owando Airport,-0.5313500166,15.9500999451,CG,FTX
FCOS,Souanke Airport,2.0669999123,14.1330003738,CG,SOE
FCOT,Betou Airport,3.0499999523,18.5,CG,BTB
FCOU,Ouesso Airport,1.6159900427,16.0379009247,CG,OUE
FCPA,Makabana Airport,-3.4830000401,12.6169996262,CG,KMK
FCPL,Loubomo Airport,-4.20635,12.6599,CG,DIS
FCPP,Pointe Noire Airport,-4.8160300255,11.8865995407,CG,PNR
FDMS,Matsapha Airport,-26.5289993286,31.3075008392,SZ,MTS
FEA,Fetlar Airport,60.6033333333,-0.8727777778,GB,FEA
FEFC,Carnot Airport,4.9369997978,15.8940000534,CF,CRF
FEFF,Bangui M'Poko International Airport,4.3984799385,18.5188007355,CF,BGF
FEFG,Bangassou Airport,4.7849998474,22.7810001373,CF,BGU
FEFI,Birao Airport,10.2363996506,22.7168998718,CF,IRO
FEFL,Bossembélé Airport,5.2670001984,17.6329994202,CF,BEM
FEFM,Bambari Airport,5.8469400406,20.6474990845,CF,BBY
FEFN,N'Délé Airport,8.4272060394,20.6351566315,CF,NDL
FEFO,Bouar Airport,5.9580001831,15.6370000839,CF,BOP
FEFR,Bria Airport,6.527780056,21.9894008636,CF,BIV
FEFS,Bossangoa Airport,6.492000103,17.4290008545,CF,BSN
FEFT,Berbérati Airport,4.2215800285,15.7863998413,CF,BBT
FEFW,Ouadda Airport,8.0105600357,22.3985996246,CF,ODA
